;Deutsch;VIAF;GND-Gemeinsame Normdatei;Wikidata;Französisch
183;Tod;;;https://www.wikidata.org/wiki/Q4;mort
184;Trauer;;;https://www.wikidata.org/wiki/Q750652;deuil
185;Todesstrafe;;;https://www.wikidata.org/wiki/Q8454;peine de mort
186;Universität;;;https://www.wikidata.org/wiki/Q3918;université
187;Verbrechen;;;https://www.wikidata.org/wiki/Q83267;crime
188;Vermarktung;;;https://www.wikidata.org/wiki/Q2516992;
189;Weibliche Autorschaft;;;;
190;Wiener Kongress;;;https://www.wikidata.org/wiki/Q46362;congrès de Vienne
191;Wirtschaft;;;;
192;Finanzen;;;https://www.wikidata.org/wiki/Q43015;finance
193;Wissenschaft;;;https://www.wikidata.org/wiki/Q336;science
194;Wohltätigkeit;;;https://www.wikidata.org/wiki/Q1077064;charité
195;Soziale Einrichtungen;;;;
196;Wohnen;;;;
197;Haushalt;;;https://www.wikidata.org/wiki/Q259059;ménage
