,Deutsch,VIAF,GND-Gemeinsame Normdatei,Wikidata,Französisch
107,Frankreich - Februarrevolution 1848,,,,
108,Frankreich - Julirevolution 1830,,,[],[]
109,Frankreich - Politik,,,[],[]
110,Frankreich - Restauration (1814-1830),,,,
111,Frankreich - Wahrnehmung,,,[],[]
112,Frankreich - Zweites Kaiserreich,,,,
113,Französische Revolution,,,http://www.wikidata.org/entity/Q6534,Révolution française
114,Freimaurerei,,https://d-nb.info/gnd/4018348-8,http://www.wikidata.org/entity/Q41726,franc-maçonnerie
115,Freundschaft,,,https://www.wikidata.org/wiki/Q491,amitié
116,Gelehrte Gesellschaft,,,[],[]
117,Gesellschaftliches Leben,,,,
118,Gesundheit,,,http://www.wikidata.org/entity/Q12147,santé
119,Krankheit,,,http://www.wikidata.org/entity/Q12136,maladie
120,Griechenland - Politik,,,,
121,Industrialisierung,,,http://www.wikidata.org/entity/Q202398,industrialisation
122,Italien - Politik,,,,
123,Judenfrage,,,http://www.wikidata.org/entity/Q708764,Question juive
124,Karriere,,,http://www.wikidata.org/entity/Q282049,carrière
125,Förderung,,,https://www.wikidata.org/wiki/Q60482764,promotion
126,Kindheit,,,http://www.wikidata.org/entity/Q276258,enfance
127,Krieg,,,http://www.wikidata.org/entity/Q198,guerre
128,Konflikt,,,http://www.wikidata.org/entity/Q180684,conflit
129,La Décade philosophique (1794-1807),,,[],[]
130,Landleben,,,http://www.wikidata.org/entity/Q1803605,Villages
131,Provinzleben,,,[],[]
132,Landwirtschaft,,,http://www.wikidata.org/entity/Q11451,agriculture
133,Liberalismus,,,https://www.wikidata.org/wiki/Q6216,libéralisme
134,Literarisches Geschehen,,,[],[]
135,Neuerscheinung,,,[],[]
136,Medizin,,,https://www.wikidata.org/wiki/Q11190,médecin
137, Impfung,,,https://www.wikidata.org/wiki/Q192995,vaccination
138,Militär,,,http://www.wikidata.org/entity/Q47064,militaire
139,Mode,,,http://www.wikidata.org/entity/Q12684,mode
140,Museum,,,http://www.wikidata.org/entity/Q33506,musée
141,Musik,,,https://www.wikidata.org/wiki/Q638,musique
142,Nachruf,,,[],[]
143,Nationalismus,,,http://www.wikidata.org/entity/Q6235'],['nationalisme
144,Naturwissenschaften,,,https://www.wikidata.org/wiki/Q7991,science de la nature
145,Orientalische Frage,,,,
146,Parapsychologie,,,http://www.wikidata.org/entity/Q179098,parapsychologie
147,Philosophie,,,http://www.wikidata.org/entity/Q5891,philosophie
148,Plagiat,,,http://www.wikidata.org/entity/Q164666,plagiat
149,Polen - Politik,,,[],[]
150,Post,,,https://www.wikidata.org/wiki/Q49845,poste
151,Presse,,,http://www.wikidata.org/entity/Q17172633.org/entity/Q1193236,presse écrite
152,Pressefreiheit,,,http://www.wikidata.org/entity/Q22688,liberté de la presse
153,Zensur,,,https://www.wikidata.org/wiki/Q543,censure
154,Pressespiegel,,,[],[]
155,Rezeption,,,http://www.wikidata.org/entity/Q2147266,réception artistique
156,Prozess,,,http://www.wikidata.org/entity/Q205663,processus
157,Gericht,,,http://www.wikidata.org/entity/P4884,tribunal
158,Reise,,,http://www.wikidata.org/entity/Q61509,voyage
159,Mobilität,,,https://www.wikidata.org/wiki/Q96622169,mobilité
161,Religion,,,http://www.wikidata.org/entity/Q9174,religion
162,Kirche,,,https://www.wikidata.org/wiki/Q16970,église
163,Romantik,,,http://www.wikidata.org/entity/Q37068,romantisme
164,Russland - Politik,,,[],[]
165,Salon,,,https://www.wikidata.org/wiki/Q576342,salon littéraire

167,Gesellschaften,,,,
168,Schweiz - Politik,,,[],[]
169,Sozialismus,,,http://www.wikidata.org/entity/Q7272,socialisme
170,Sozialwissenschaften,,,[],[]
171,Spanien - Politik,,,[],[]
172,Spiel,,,https://www.wikidata.org/wiki/Q11410,jeu
173,Sprachen,,,[],[]
174,Unterricht,,,
175,Stadtleben,,,,
176,Tanz,,,https://www.wikidata.org/wiki/Q11639,danse
177,Technik,,,http://www.wikidata.org/entity/Q2695280,technique
178,Fortschritt,,,http://www.wikidata.org/entity/Q247792,progrès
179,Theater,,,http://www.wikidata.org/entity/Q11635,théâtre
180,Tier,,,https://www.wikidata.org/wiki/Q729,animal
181,Haustier,,,http://www.wikidata.org/entity/Q622852,animal domestique
182,Tod,,,http://www.wikidata.org/entity/Q4,mort
183,Tod,,,http://www.wikidata.org/entity/Q4,mort
184,Trauer,,,https://www.wikidata.org/wiki/Q750652,deuil
185,Todesstrafe,,,http://www.wikidata.org/entity/Q8454,peine de mort
186,Universität,,,http://www.wikidata.org/entity/Q3918,université
187,Verbrechen,,,https://www.wikidata.org/wiki/Q83267,crime
188,Vermarktung,,,http://www.wikidata.org/entity/Q2516992,
189,Weibliche Autorschaft,,,[],[]
190,Wiener Kongress,,,http://www.wikidata.org/entity/Q46362,congrès de Vienne
191,Wirtschaft,,,,
192,Finanzen,,,http://www.wikidata.org/entity/Q43015,finance
193,Wissenschaft,,,http://www.wikidata.org/entity/Q336,science
194,Wohltätigkeit,,,http://www.wikidata.org/entity/Q1077064,charité
195,Soziale Einrichtungen,,,,
196,Wohnen,,,,
197,Haushalt,,,http://www.wikidata.org/entity/Q259059,ménage
